2024-02-27T19:29:03.817Z, Distance: 100cm
2024-02-27T19:29:04.814Z, Distance: 90cm
2024-02-27T19:29:05.815Z, Distance: 100cm
2024-02-27T19:29:06.815Z, Distance: 110cm
2024-02-27T19:29:07.815Z, Distance: 110cm
2024-02-27T19:29:08.815Z, Distance: 110cm
2024-02-27T19:29:09.816Z, Distance: 110cm
2024-02-27T19:29:10.815Z, Distance: 100cm
2024-02-27T19:29:11.816Z, Distance: 100cm
2024-02-27T19:29:12.816Z, Distance: 100cm
2024-02-27T19:29:13.815Z, Distance: 110cm
2024-02-27T19:29:14.815Z, Distance: 110cm
2024-02-27T19:29:15.815Z, Distance: 90cm
2024-02-27T19:29:16.814Z, Distance: 90cm
2024-02-27T19:29:17.814Z, Distance: 90cm
2024-02-27T19:29:18.815Z, Distance: 90cm
2024-02-27T19:29:19.814Z, Distance: 110cm
2024-02-27T19:29:20.815Z, Distance: 90cm
2024-02-27T19:29:21.815Z, Distance: 110cm
2024-02-27T19:29:22.815Z, Distance: 100cm
2024-02-27T19:29:23.814Z, Distance: 110cm
2024-02-27T19:29:24.815Z, Distance: 100cm
2024-02-27T19:29:25.815Z, Distance: 90cm
2024-02-27T19:29:26.814Z, Distance: 100cm
2024-02-27T19:29:27.815Z, Distance: 110cm
2024-02-27T19:29:28.815Z, Distance: 100cm
2024-02-27T19:29:29.814Z, Distance: 100cm
2024-02-27T19:29:30.815Z, Distance: 110cm
2024-02-27T19:29:31.815Z, Distance: 100cm
2024-02-27T19:29:32.814Z, Distance: 100cm
2024-02-27T19:29:33.815Z, Distance: 110cm
2024-02-27T19:29:34.815Z, Distance: 90cm
2024-02-27T19:29:35.814Z, Distance: 90cm
2024-02-27T19:29:36.815Z, Distance: 100cm
2024-02-27T19:29:37.815Z, Distance: 100cm
2024-02-27T19:29:38.815Z, Distance: 110cm
2024-02-27T19:29:39.814Z, Distance: 100cm
2024-02-27T19:29:40.815Z, Distance: 90cm
2024-02-27T19:29:41.815Z, Distance: 90cm
2024-02-27T19:29:42.815Z, Distance: 90cm
2024-02-27T19:29:43.815Z, Distance: 100cm
2024-02-27T19:29:44.815Z, Distance: 90cm
2024-02-27T19:29:45.814Z, Distance: 90cm
2024-02-27T19:29:46.815Z, Distance: 100cm
2024-02-27T19:29:47.815Z, Distance: 100cm
2024-02-27T19:29:48.814Z, Distance: 110cm
2024-02-27T19:29:49.814Z, Distance: 100cm
2024-02-27T19:29:50.815Z, Distance: 110cm
2024-02-27T19:29:51.815Z, Distance: 90cm
2024-02-27T19:29:52.814Z, Distance: 110cm
2024-02-27T19:29:53.814Z, Distance: 100cm
2024-02-27T19:29:54.815Z, Distance: 100cm
2024-02-27T19:29:55.815Z, Distance: 110cm
2024-02-27T19:29:56.815Z, Distance: 100cm
2024-02-27T19:29:57.815Z, Distance: 90cm
2024-02-27T19:29:58.815Z, Distance: 110cm
2024-02-27T19:29:59.814Z, Distance: 90cm
2024-02-27T19:30:00.815Z, Distance: 100cm
2024-02-27T19:30:01.814Z, Distance: 100cm
2024-02-27T19:30:02.814Z, Distance: 90cm
2024-02-27T19:30:03.814Z, Distance: 90cm
2024-02-27T19:30:04.815Z, Distance: 90cm
2024-02-27T19:30:05.815Z, Distance: 100cm
2024-02-27T19:30:06.814Z, Distance: 100cm
2024-02-27T19:30:07.814Z, Distance: 100cm
2024-02-27T19:30:08.814Z, Distance: 90cm
2024-02-27T19:30:09.814Z, Distance: 100cm
2024-02-27T19:30:10.814Z, Distance: 100cm
2024-02-27T19:30:11.815Z, Distance: 100cm
